+-------------+----------+
|expansion    |asin_count|
|owl          |13274161  |
|cell         |13272443  |
|ninja        |13268838  |
|nice         |13256671  |
|middle       |13237284  |
|2003         |13234877  |
|carrier      |13234476  |
|balloon      |13214397  |
|batman       |13206398  |
|workout      |13198290  |
|engine       |13173563  |
|better       |13169775  |
|perfect      |13155653  |
|extreme      |13125963  |
|price        |13111432  |
|lab          |13103828  |
|33           |13096339  |
|12v          |13091216  |
|jelly        |13086438  |
|nickel       |13085255  |
|island       |13076601  |
|pressure     |13073599  |
|turn         |13061053  |
|charging     |13046538  |
|amp          |13045620  |
|net          |13035211  |
|flamingo     |13033690  |
|mark         |13029692  |
|2009         |13022874  |
|64           |13019720  |
|flannel      |13015611  |
|rise         |13001493  |
|bean         |12992278  |
|tin          |12989909  |
|suede        |12979334  |
|hidden       |12967489  |
|personal     |12958650  |
|away         |12957741  |
|beauty       |12940388  |
|place        |12937531  |
|six          |12928265  |
|carpet       |12923618  |
|quarter      |12923156  |
|knob         |12919147  |
|thread       |12909527  |
|cocktail     |12904933  |
|klein        |12894531  |
|shock        |12887563  |
|bob          |12887330  |
|rabbit       |12884587  |
|huge         |12868901  |
|champagne    |12843137  |
|equipment    |12837799  |
|onesie       |12835352  |
|west         |12823424  |
|5.5          |12819145  |
|coconut      |12801293  |
|fluffy       |12798130  |
|chunky       |12797234  |
|socket       |12785212  |
|banana       |12784723  |
|mounting     |12776482  |
|ez           |12775536  |
|daily        |12774305  |
|pride        |12771895  |
|fuzzy        |12732878  |
|speaker      |12732458  |
|release      |12732443  |
|beautiful    |12731505  |
|construction |12720739  |
|operated     |12714414  |
|mustard      |12690200  |
|season       |12674960  |
|comfy        |12664666  |
|curtain      |12661503  |
|oak          |12660560  |
|44           |12642211  |
|cordless     |12633576  |
|vent         |12593301  |
|north        |12592573  |
|we           |12589117  |
|65           |12583534  |
|utility      |12576848  |
|uniform      |12556824  |
|wrangler     |12528751  |
|checkered    |12521984  |
|unisex       |12503754  |
|basketball   |12492544  |
|senior       |12480024  |
|well         |12471060  |
|shot         |12468652  |
|add          |12468543  |
|makeup       |12464980  |
|money        |12457113  |
|cargo        |12456101  |
|wax          |12454199  |
|more         |12445746  |
|diameter     |12422638  |
|triangle     |12421273  |
|2023         |12420405  |
|stretchy     |12418382  |
|asian        |12415192  |
|nautical     |12406550  |
|remover      |12406405  |
|idea         |12399708  |
|belly        |12395205  |
|fringe       |12388264  |
|rug          |12383408  |
|2002         |12379342  |
|video        |12365460  |
|vacuum       |12344481  |
|trail        |12343440  |
|29           |12307538  |
|sink         |12291494  |
|train        |12279258  |
|brushed      |12270836  |
|halo         |12246156  |
|spandex      |12240587  |
|pod          |12238912  |
|gasket       |12237506  |
|tommy        |12235344  |
|retractable  |12215319  |
|lot          |12194379  |
|church       |12158189  |
|anchor       |12148025  |
|sandal       |12142661  |
|handheld     |12119717  |
|security     |12117828  |
|con          |12103726  |
|pirate       |12086906  |
|2001         |12083765  |
|sliding      |12080465  |
|closed       |12079983  |
|drill        |12077124  |
|tile         |12076751  |
|cage         |12066390  |
|merchandise  |12065183  |
|ounce        |12047782  |
|roof         |12043564  |
|fly          |12034446  |
|protective   |12007203  |
|prop         |12006859  |
|cartoon      |12005076  |
|check        |11999996  |
|motion       |11993337  |
|dad          |11992808  |
|solution     |11988822  |
|university   |11979275  |
|harness      |11976493  |
|dead         |11972541  |
|training     |11969712  |
|el           |11956251  |
|scrub        |11956001  |
|6ft          |11955242  |
|yamaha       |11948847  |
|maternity    |11943083  |
|merch        |11939223  |
|fuel         |11935616  |
|hybrid       |11908797  |
|ray          |11888781  |
|wifi         |11884260  |
|toilet       |11882183  |
|painting     |11879333  |
|cardboard    |11861587  |
|angle        |11843872  |
|skecher      |11840705  |
|7.5          |11839811  |
|beer         |11834362  |
|hunting      |11834240  |
|4th          |11816013  |
|rim          |11810845  |
|skeleton     |11798696  |
|brake        |11787456  |
|filler       |11767463  |
|trunk        |11766531  |
|camp         |11756960  |
|davidson     |11755788  |
|graduation   |11739152  |
|after        |11732237  |
|hill         |11726270  |
|nurse        |11708385  |
|spot         |11707325  |
|run          |11705981  |
|cutter       |11693614  |
|4t           |11686502  |
|mary         |11678576  |
|wonder       |11665749  |
|pick         |11664870  |
|600          |11658546  |
|350          |11652020  |
|so           |11649762  |
|f150         |11612257  |
|embroidered  |11582325  |
|instant      |11579650  |
|cookie       |11579053  |
|racing       |11563529  |
|most         |11558327  |
|favor        |11551844  |
|wind         |11550772  |
|1st          |11548936  |
|54           |11539891  |
|wholesale    |11524768  |
|2t           |11490148  |
|knife        |11479223  |
|coastal      |11473227  |
|sweat        |11468187  |
|collapsible  |11460981  |
|tractor      |11450452  |
|champion     |11450293  |
|return       |11448078  |
|coach        |11435265  |
|tooth        |11434984  |
|maxi         |11433011  |
|extended     |11431470  |
|california   |11426959  |
|titan        |11400062  |
|hip          |11390953  |
|bra          |11384575  |
|dupe         |11381626  |
|mario        |11372370  |
|96           |11357301  |
|compression  |11348545  |
|len          |11345728  |
|ct           |11345563  |
|lighted      |11336626  |
|gaming       |11331575  |
|vegan        |11323497  |
|covered      |11320637  |
|platinum     |11315126  |
|clay         |11302979  |
|brother      |11294966  |
|heater       |11294467  |
|cactus       |11291381  |
|grass        |11281183  |
|joe          |11274726  |
|armor        |11262692  |
|110          |11260875  |
|july         |11257712  |
|ready        |11248676  |
|horizontal   |11236591  |
|smooth       |11234761  |
|york         |11218609  |
|52           |11195870  |
|airplane     |11195604  |
|puff         |11187519  |
|layer        |11185608  |
|butt         |11174398  |
|glue         |11158542  |
|chic         |11156980  |
|suction      |11154720  |
|felt         |11154571  |
|3t           |11149481  |
|doctor       |11139091  |
|tent         |11136351  |
|dining       |11134363  |
|washer       |11131565  |
|older        |11120310  |
|hiking       |11119350  |
|bridal       |11092311  |
|stay         |11081860  |
|crochet      |11076823  |
|take         |11057950  |
|bat          |11038942  |
|taupe        |11027711  |
|helmet       |11019823  |
|porch        |11018939  |
|sleeveless   |10999474  |
|dusty        |10999068  |
|fitting      |10968919  |
|5x           |10963206  |
|close        |10959655  |
|31           |10952698  |
|sleeping     |10952553  |
|inflatable   |10949886  |
|changing     |10948938  |
|panda        |10937068  |
|columbia     |10927514  |
|ornament     |10918585  |
|mega         |10902802  |
|divider      |10872657  |
|buckle       |10869925  |
|viking       |10859513  |
|packet       |10856817  |
|textured     |10853791  |
|field        |10850345  |
|who          |10843072  |
|ombre        |10837734  |
|hoody        |10825678  |
|police       |10798543  |
|pari         |10794013  |
|gmc          |10788536  |
|snack        |10787889  |
|need         |10787511  |
|its          |10780416  |
|concrete     |10780073  |
|german       |10772890  |
|y2k          |10768011  |
|word         |10759551  |
|traditional  |10749206  |
|cone         |10741656  |
|connect      |10727331  |
|kiss         |10725097  |
|patterned    |10717463  |
|burnt        |10716703  |
|bull         |10711928  |
|4xl          |10700955  |
|delta        |10690244  |
|barbie       |10678643  |
|closet       |10678257  |
|5t           |10677966  |
|flare        |10670238  |
|cast         |10664973  |
|swimming     |10658472  |
|dorm         |10636707  |
|last         |10631330  |
|controller   |10624064  |
|above        |10622542  |
|wired        |10610568  |
|selling      |10603701  |
|poly         |10594524  |
|code         |10592000  |
|le           |10590932  |
|berry        |10585146  |
|spiral       |10580418  |
|pilot        |10546254  |
|god          |10544815  |
|titanium     |10520023  |
|saver        |10519353  |
|newborn      |10518499  |
|wicker       |10515234  |
|limited      |10510375  |
|hero         |10501290  |
|yoga         |10499392  |
|valentine    |10489055  |
|laptop       |10477149  |
|barn         |10470518  |
|hippie       |10462964  |
|legging      |10454409  |
|tomorrow     |10442500  |
|vanilla      |10441404  |
|tier         |10402562  |
|peanut       |10394780  |
|stranger     |10392155  |
|land         |10391117  |
|riding       |10386721  |
|laundry      |10383572  |
|spirit       |10378024  |
|surface      |10365063  |
|throw        |10351343  |
|midi         |10342569  |
|vehicle      |10329973  |
|miss         |10324179  |
|crazy        |10324075  |
|person       |10322180  |
|silverado    |10320831  |
|finish       |10320786  |
|wand         |10304235  |
|husky        |10300371  |
|rice         |10291313  |
|approved     |10285259  |
|cozy         |10284818  |
|couch        |10269908  |
|preppy       |10256834  |
|sticky       |10250320  |
|looking      |10242181  |
|hour         |10237982  |
|amber        |10235322  |
|fence        |10223170  |
|ribbed       |10218269  |
|mac          |10216588  |
|lunch        |10214279  |
|bullet       |10213357  |
|craftsman    |10210474  |
|80s          |10206485  |
|cosplay      |10196381  |
|flow         |10188111  |
|patrol       |10180008  |
|treat        |10178506  |
|centerpiece  |10175356  |
|nose         |10174761  |
|flash        |10174337  |
|circular     |10166904  |
|cropped      |10156825  |
|90s          |10142853  |
|dash         |10139423  |
|walk         |10123728  |
|sturdy       |10121590  |
|stackable    |10120591  |
|pill         |10115489  |
|mixed        |10115345  |
|iridescent   |10112599  |
|inc          |10110060  |
|wrist        |10104946  |
|spice        |10080590  |
|bill         |10078749  |
|se           |10078610  |
|adventure    |10070285  |
|lake         |10066962  |
|braided      |10061378  |
|english      |10058402  |
|carhartt     |10047864  |
|durable      |10047860  |
|action       |10042166  |
|zebra        |10036143  |
|bin          |10027384  |
|milwaukee    |10027325  |
|blow         |10023210  |
|desktop      |10019235  |
|brick        |10013253  |
|sold         |10011943  |
|pk           |10003037  |
|generation   |9996801   |
|bohemian     |9990364   |
|globe        |9976182   |
|dome         |9972957   |
|compartment  |9970511   |
|en           |9965639   |
|buddy        |9964047   |
|evening      |9963645   |
|flame        |9961363   |
|form         |9960652   |
|seed         |9960323   |
|smoke        |9950100   |
|donut        |9935430   |
|mug          |9935211   |
|race         |9919968   |
|lee          |9915029   |
|coil         |9913807   |
|coin         |9899476   |
|46           |9887720   |
|shadow       |9875420   |
|them         |9870972   |
|scale        |9866257   |
|headband     |9865127   |
|pooh         |9864491   |
|now          |9852026   |
|lanyard      |9849112   |
|2nd          |9845700   |
|guitar       |9844872   |
|naruto       |9833729   |
|dinner       |9816318   |
|map          |9811608   |
|river        |9799018   |
|turbo        |9794311   |
|mouth        |9779944   |
|urban        |9779120   |
|going        |9772339   |
|signature    |9762840   |
|breast       |9762207   |
|range        |9758416   |
|tom          |9757297   |
|international|9748008   |
|lower        |9745349   |
|raw          |9743500   |
|plum         |9732398   |
|electrical   |9731165   |
|spa          |9695634   |
|rotating     |9691654   |
|bass         |9691050   |
|drain        |9689510   |
|3.0          |9682551   |
|simply       |9680110   |
|tassel       |9678351   |
|own          |9677588   |
|heated       |9671293   |
|lawn         |9653570   |
|radio        |9653424   |
|gown         |9652338   |
|fusion       |9646929   |
|bicycle      |9614918   |
|puma         |9609195   |
|dewalt       |9606625   |
|stud         |9601806   |
|waffle       |9601691   |
|advanced     |9597276   |
|anniversary  |9591249   |
|warmer       |9589446   |
|autumn       |9581482   |
|jumpsuit     |9568505   |
|mercede      |9565946   |
|spike        |9556961   |
|start        |9547181   |
|clock        |9540514   |
|energy       |9531327   |
|express      |9529284   |
|drum         |9527165   |
|3m           |9525853   |
|victorian    |9519450   |
|blood        |9514926   |
|marker       |9514677   |
|everyday     |9514118   |
|must         |9505232   |
|tumbler      |9497277   |
|4x6          |9495150   |
|dirt         |9494942   |
|elf          |9479922   |
|800          |9477638   |
|lucky        |9471331   |
|infinity     |9464560   |
|duo          |9460460   |
|hooded       |9456090   |
|minimalist   |9452209   |
|kate         |9437870   |
|ride         |9430407   |
|san          |9430355   |
|loui         |9428967   |
|gadget       |9427085   |
|foil         |9425819   |
|when         |9412710   |
|empty        |9411243   |
|gem          |9409082   |
|8x10         |9407538   |
|stove        |9405647   |
|slipper      |9404970   |
|sister       |9403113   |
|superhero    |9394459   |
|pioneer      |9388872   |
|romper       |9385295   |
|pine         |9378734   |
|hide         |9370092   |
|monitor      |9340374   |
|4ft          |9333719   |
|tri          |9333060   |
|rest         |9332708   |
|fridge       |9331823   |
|patriotic    |9330385   |
|stem         |9323015   |
|earring      |9315345   |
|70s          |9307524   |
|camouflage   |9307241   |
|japan        |9300122   |
|cooking      |9294472   |
|01           |9290633   |
|removal      |9269841   |
|than         |9268482   |
|sterling     |9255296   |
|drawstring   |9254788   |
|say          |9248280   |
|booster      |9240129   |
|3rd          |9222785   |
|ski          |9218378   |
|lantern      |9213264   |
|chef         |9199030   |
|flush        |9198753   |
|blouse       |9193353   |
|mama         |9184605   |
|waisted      |9180399   |
|id           |9179179   |
|aid          |9176203   |
|minecraft    |9172056   |
|rattan       |9168400   |
|vanity       |9166367   |
|element      |9156219   |
|slot         |9154838   |
|sponge       |9152819   |
|let          |9148442   |
|12x12        |9144762   |
|prom         |9143061   |
|about        |9139143   |
|cutting      |9126862   |
|ship         |9123832   |
|conditioner  |9116886   |
|warrior      |9105298   |
|captain      |9101916   |
|smith        |9093817   |
|review       |9088818   |
|yoda         |9083017   |
|encanto      |9070885   |
|less         |9067749   |
|joy          |9061436   |
|pepper       |9058394   |
|bit          |9055957   |
|inner        |9054687   |
|kia          |9048872   |
|penguin      |9046833   |
|booty        |9042370   |
|attached     |9041748   |
|bulldog      |9035722   |
|legend       |9032019   |
|cupcake      |9025040   |
|lounge       |9020617   |
|pickup       |9008247   |
|q            |9006030   |
|teenager     |8982912   |
|3ft          |8979737   |
|lauren       |8979054   |
|mauve        |8974239   |
|peel         |8969342   |
|cowgirl      |8969097   |
|dryer        |8968428   |
|project      |8957205   |
|dino         |8956077   |
|carrying     |8954089   |
|storm        |8939974   |
|cuff         |8935473   |
|calendar     |8924365   |
|working      |8918255   |
|call         |8917003   |
|nursery      |8913503   |
|border       |8912345   |
|image        |8911894   |
|closure      |8911341   |
|5x7          |8905653   |
|banner       |8903231   |
|99           |8900853   |
|hub          |8898416   |
|mustang      |8895160   |
|watermelon   |8890923   |
|geometric    |8889389   |
|canopy       |8881117   |
|softball     |8879211   |
|saint        |8869697   |
|science      |8862191   |
|gloss        |8857691   |
|calvin       |8856289   |
|lily         |8853945   |
|chicago      |8853908   |
|native       |8853238   |
|opening      |8849936   |
|gate         |8846461   |
|desert       |8839236   |
|vw           |8835013   |
|therapy      |8825821   |
|figurine     |8816844   |
|stock        |8801225   |
|alpha        |8796540   |
|sling        |8793609   |
|almond       |8787194   |
|exercise     |8783237   |
|area         |8782466   |
|mexico       |8779523   |
|grid         |8777010   |
|blossom      |8775612   |
|halter       |8755214   |
|stain        |8753289   |
|david        |8752063   |
|distressed   |8749706   |
|spoon        |8749658   |
|capacity     |8746433   |
|quilted      |8743945   |
|soul         |8743481   |
|caddy        |8733042   |
|ink          |8729706   |
|irish        |8726979   |
|flowy        |8716235   |
|console      |8711161   |
|welcome      |8706340   |
|minion       |8700833   |
|9.5          |8696322   |
|reading      |8682995   |
|clutch       |8677117   |
|ebt          |8676008   |
|taylor       |8674647   |
|view         |8672554   |
|reflective   |8667367   |
|refrigerator |8665088   |
|zone         |8663589   |
|son          |8654579   |
|second       |8651457   |
|formula      |8651318   |
|ties         |8637439   |
|capri        |8635875   |
|restaurant   |8632074   |
|ginger       |8631739   |
|safari       |8630093   |
|tacoma       |8629393   |
|jr           |8626321   |
|countertop   |8619739   |
|strength     |8619422   |
|stuffed      |8617859   |
|trouser      |8603107   |
|exhaust      |8597507   |
|hyundai      |8595559   |
|acid         |8593879   |
|2500         |8580604   |
|dolphin      |8579293   |
|gucci        |8578484   |
|convertible  |8572749   |
|come         |8568009   |
|scoop        |8564820   |
|root         |8564225   |
|med          |8551867   |
|jame         |8550986   |
|hane         |8545200   |
|cabin        |8541176   |
|alcohol      |8538991   |
|hammer       |8530243   |
|caramel      |8529143   |
|channel      |8524051   |
|florida      |8517565   |
|cheer        |8515624   |
|pizza        |8511795   |
|his          |8499173   |
|our          |8486888   |
|alien        |8465542   |
|tummy        |8461251   |
|corn         |8456437   |
|philip       |8449699   |
|save         |8446776   |
|weatherproof |8431685   |
|evil         |8426165   |
|levi         |8423602   |
|tabletop     |8409412   |
|umbrella     |8404273   |
|pj           |8402365   |
|jesus        |8399723   |
|grain        |8396030   |
|student      |8384498   |
|camel        |8383507   |
|1999         |8378161   |
|rocker       |8377119   |
|cinnamon     |8375877   |
|ex           |8374280   |
|upper        |8373954   |
|84           |8372345   |
|juice        |8369109   |
|yankee       |8368331   |
|android      |8367308   |
|sublimation  |8366187   |
|subaru       |8365352   |
|cancer       |8364762   |
|plan         |8364695   |
|thigh        |8360661   |
|10.5         |8357425   |
|find         |8353949   |
|goat         |8352941   |
|nursing      |8351166   |
|blazer       |8346099   |
|porcelain    |8344338   |
|hollow       |8343727   |
|sensitive    |8341836   |
|latch        |8321807   |
|cardinal     |8320353   |
|dont         |8316129   |
|monkey       |8313659   |
|cartridge    |8305347   |
|swiss        |8302033   |
|apartment    |8301876   |
|horror       |8295381   |
+-------------+----------+
