pair	label
bottine :: boot	0
aid :: care	0
magnesium :: mg	0
ml :: milliliter	0
stretchable :: stretchy	2
sleeve :: jacket	0
string :: twine	1
belly :: stomach	2
pajama :: pj's	2
sneaker :: footwear	1
special :: limited	0
disco :: club	0
pigeon :: dove	0
spot light :: spotlight	2
jumbo :: giant	2
hollow :: hole	0
whitening :: whitener	2
cleanser :: facewash	0
throw :: flip	0
block :: cube	0
stocking :: sock	1
iwatch :: watch	1
fence :: fencing	0
wig :: toupee	2
humor :: humorous	2
10th :: tenth	0
area :: sphere	0
graph :: chart	0
forest :: woodland	2
watercolor :: watercolour	2
arena :: stadium	2
volume :: section	0
food :: nutrient	0
lube :: lubricate	2
raincoat :: waterproof	0
indian :: india	2
serpent :: snake	2
crop :: harvest	0
dinosaur :: fossil	0
bake :: cook	0
battle :: conflict	0
spice :: seasoning	1
curtain :: draper	1
protection :: protect	2
carhartt :: carthart	1
music :: musician	0
bra :: brassiere	2
key chain :: keychain	2
ebike :: bike	1
flower :: blossom	0
cat :: feline	1
customized :: personalised	0
building :: construction	2
tincture :: dye	0
ten :: 10	0
moisturizing :: moisturising	2
oil :: aceite	0
straightener :: straightening	2
rotate :: turn	0
story :: tale	0
say :: order	0
car :: automotive	2
carburetor :: carb	0
technic :: technique	0
tool :: toola	1
popular :: pop	0
stairway :: stair	2
development :: growth	0
cowl :: hood	0
crochet :: crocheting	2
thermometer :: termometer	1
1920s :: 20s	0
ukulele :: ukelele	2
bending :: fold	0
dice :: cube	0
classical :: classic	0
broom :: sweep	0
brain :: mind	1
treat :: handle	0
column :: pillar	2
tunic :: top	1
animal :: beast	0
coatigan :: cardigan	0
fry :: chip	0
digital :: digitale	1
8th :: eight	0
xr :: 11	0
frigidaire :: fridge	1
dozen :: 12	0
jogger :: jogging	0
suitcase :: baggage	1
cutlery :: flatware	2
blank :: space	9
bicycle :: cycling	0
seven :: 7	0
16th :: 16	0
biotin :: biotine	1
shaped :: shape	0
pee :: piss	2
oblong :: rectangle	0
1st :: one	0
ukulele :: uke	2
towing :: tow	2
weatherstrip :: weatherstripping	2
3rd :: three	0
law :: police	0
bowl :: bowel	0
outwear :: jacket	0
crossbody :: purse	1
snug :: cozy	2
garbage :: junk	2
brute :: animal	0
stress :: anxiety	2
recording :: track	0
prime :: undercoat	0
goalkeeper :: goalie	2
6 :: sixth	0
bloom :: flush	0
crocodile :: croc	0
five :: fifth	0
sawhorse :: saw	0
pouch :: pocket	0
steel :: steal	0
calory :: calorie	0
faucet :: tap	2
pasta :: noodle	0
schedule :: agenda	0
pad :: inkpad	0
helicopter :: whirlybird	0
minnie :: disney	1
crafting :: craft	0
restroom :: bathroom	2
vacuum :: vaccume	1
spandex :: lycra	0
resistance :: underground	0
lactina :: medela	0
iwatch :: apple	0
collapsible :: foldable	1
create :: make	0
strainer :: colander	2
sery :: serial	0
cosmetic :: skincare	0
billiard :: billard	1
quilt :: bedspread	2
tracksuit :: jogger	2
coach :: bus	0
cloth :: material	1
exercise :: practice	0
cradle :: rest	0
hide :: skin	0
lover :: connoisseur	0
kitchen :: kitche	2
carbon :: c	0
dad :: dada	2
wood :: forest	0
attachment :: fastening	0
measurement :: measure	2
install :: installation	0
muffler :: silencer	0
receiver :: reciever	1
straight :: square	0
simple :: bare	9
start :: beginning	0
controller :: switch	0
flower :: prime	0
faith :: trust	0
cleaning :: cleansing	2
teen :: tween	0
ix :: nine	0
looking :: look	0
sandal :: sandale	2
18 :: eighteen	0
packet :: sachet	0
boot :: trunk	0
bore :: tire	0
glove :: mitt	1
salt :: seasalt	0
fall :: autumn	2
repellent :: resistant	0
decorative :: cosmetic	0
sweater :: sweatshirt	0
salve :: ointment	0
gender :: sex	1
colouring :: coloring	2
float :: floatie	0
repair :: fix	0
robe :: bathrobe	2
palette :: pallet	1
sketching :: drawing	2
purpose :: function	0
joke :: laugh	0
swing :: sway	0
growth :: development	0
exfoliating :: exfoliate	2
steam :: steamer	0
dinosaur :: dinosaure	1
comforter :: quilt	2
tasting :: degustation	0
baseball :: softball	0
bro :: brother	0
suit :: suite	0
alloy :: metal	0
lacing :: lace	0
spiderman :: marvel	1
diya :: diwali	0
barbeque :: bbq	2
cardigan :: sweater	1
spindle :: mandrel	0
derby :: bowler	0
mask :: mak	1
hotwheel :: wheel	0
boot :: shoe	0
garden :: farm	0
curl :: coil	0
label :: tag	0
motion :: move	0
sleeping :: sleep	0
eleven :: 11	0
cake :: bar	0
purse :: handbag	2
blonde :: hair	0
turmeric :: tumeric	0
wool :: woolen	2
apocalypse :: armageddon	0
trade :: deal	0
illuminated :: lighted	2
teething :: teether	2
mix :: blend	0
marvel :: phenomenon	0
ancient :: old	1
veggy :: vegetable	2
breaker :: braker	1
sthil :: stihl	0
barber :: hairdresser	2
comfortable :: comfy	2
smell :: odor	2
carabiner :: crab	0
boat :: barque	0
ox :: steer	0
fidget :: figit	1
pistol :: gun	1
doughnut :: ring	0
tightening :: tighten	2
bathroom :: toilet	0
steamer :: steam	0
potty :: toilet	2
bike :: bycle	1
flatware :: tableware	2
xxl :: xl	0
backpack :: packsack	1
stainless :: rustproof	0
lining :: liner	2
contain :: control	0
combination :: blend	0
perfume :: perfum	2
swedish :: sweedish	1
decorative :: fancy	2
aloe :: aloevera	2
lady :: woman	2
music :: melody	0
reversible :: reversable	1
woody :: wood	0
sweatshirt :: hoodie	0
shine :: polish	2
isolation :: insulator	0
tuner :: radio	0
fireman :: firefighter	2
flop :: flip	0
maker :: shaper	0
massage :: masaje	1
android :: andriod	1
living :: life	0
sunny :: bright	0
throne :: toilet	0
top :: tunic	0
raspberry :: rasberry	1
dorman :: doorman	0
flowerpot :: pot	1
relationship :: friendship	0
tracking :: tracker	2
chunky :: thick	0
iwatch :: smartwatch	1
trouser :: pant	2
canon :: round	0
swimsuit :: swimwear	2
upholstery :: apolstry	1
list :: lean	0
pt :: pdt	0
sundress :: dress	1
clipping :: cutting	0
fitness :: strength	0
engraved :: engravable	0
clock :: timekeeper	0
thong :: underwear	1
identification :: id	2
fifth :: 5	0
telephone :: call	0
cream :: creame	1
adjusting :: adjustment	0
anklet :: ankle	0
stop :: catch	0
ladder :: run	0
balm :: balsam	0
space :: blank	0
gut :: intestine	2
climbing :: climb	2
gun :: pistol	0
zig :: zigzag	0
adaptor :: adapter	2
teen :: teenager	2
sticker :: burr	0
read :: learn	0
xs :: xsmall	0
bit :: scrap	0
faith :: religion	0
aquarium :: fishtank	2
trex :: rex	0
60 :: sixty	0
safe :: comfortable	0
night :: blackness	0
number :: issue	0
america :: american	2
curl :: curly	0
pyjama :: pajama	2
legging :: leggin	1
tunic :: blouse	0
quadcopter :: quadrocopter	1
muichirou :: muichiro	1
drawing :: drafting	2
pail :: bucket	2
sneaker :: size	0
gazebo :: gazibo	1
spicy :: spice	0
diamond :: rhombus	0
mind :: judgment	0
shear :: scissor	0
boxing :: punching	2
xxl :: 2xl	0
shining :: brilliant	0
steer :: point	0
carpenter :: joiner	0
pretty :: beautiful	2
sandle :: sandal	0
daughter :: sister	0
mic :: microfono	1
practice :: exercise	0
brush :: encounter	0
stomach :: abdomen	2
explorer :: adventurer	0
condom :: rubber	2
use :: exercise	0
teen :: preteen	0
trunk :: torso	0
rhombus :: diamond	0
figure :: figura	1
tape :: taping	0
organization :: organized	0
kidizoom :: kid	0
measure :: measurement	2
plastic :: plastico	2
burn :: burning	0
biking :: cycling	2
toilet :: lav	0
grind :: grinder	0
sportsman :: sport	0
fruit :: yield	0
behavior :: behaviour	2
extension :: extention	1
congrat :: congratulation	2
funny :: humorous	2
bike :: bici	0
chewing :: chew	2
chandelier :: candelabrum	0
kichen :: kitchen	0
cutting :: chopping	2
gluten free :: no gluten	2
twist :: twine	0
wig :: hairpiece	2
pullover :: sweater	1
granny :: grandma	2
display :: presentation	0
nightdress :: nightgown	2
speaker :: talker	2
wrapping :: wrapper	2
carburetor :: carborator	1
slice :: cut	0
solenoid :: selenoid	1
motor :: drive	0
point :: dot	0
long :: ache	0
survival :: emergency	0
action :: activity	0
absolute :: unlimited	0
gallon :: galon	1
beeing :: bee	0
sandale :: sandal	0
kangaroo :: hoodie	0
brooch :: pin	0
rebel :: maverick	0
marker :: marking	0
candle :: candela	1
atmosphere :: ambiance	0
barbecue :: barbque	1
nozzle :: nozel	1
grill :: barbecue	2
crystal :: grain	0
mind :: head	0
learning :: education	2
wizard :: sorcerer	0
seventy :: 70s	0
buffing :: polishing	2
exercise :: practic	0
car :: automobile	2
bracelet :: braclet	1
paddle :: racquet	0
copper :: bull	0
macaron :: macaroon	1
organizer :: case	0
braid :: braiding	0
curved :: bent	2
lid :: hat	0
shaving :: shave	2
aura :: air	0
flashlight :: flashlite	1
protector :: defender	0
flawless :: perfect	2
hallway :: hall	2
bedspread :: quilt	2
cup :: bra	0
wardrobe :: cupboard	0
slime :: gloop	0
jewelry :: jewelery	1
shaper :: maker	0
gourmet :: foodie	1
console :: comfort	0
barber :: hairstylist	2
reclining :: recliner	0
aluminium :: aluminum	2
doorbell :: door bell	2
alkaline :: basic	0
dye :: tint	0
skipping :: jumping	0
multimeter :: voltmeter	1
pantyhose :: stocking	0
2 :: ii	0
spicy :: hot	0
padlock :: lock	1
grandmother :: grandma	2
silicone :: silcone	2
flavoring :: flavour	2
veggie :: veggy	2
puppy :: dog	2
path :: track	0
liter :: litre	2
christian :: catholic	0
three :: trio	0
veggie :: veg	2
nightgown :: nightdress	2
saint :: st	1
ziplock :: ziploc	2
blanket :: throw	0
lace :: braid	0
biker :: cyclist	0
ultra :: supra	0
coloured :: colored	2
mitten :: mit	0
liquid :: liquide	1
running :: shoe	0
accurate :: just	0
vinyl :: waxing	0
13th :: 13	0
fascinator :: facinator	1
rooftop :: roof	0
guard :: safety	0
70s :: 1970s	0
automotive :: auto	2
three :: iii	0
straightening :: straightener	2
mode :: mood	0
farm :: garden	0
barrette :: hairclip	0
surfboard :: surf	0
lit :: lighted	0
invitation :: invite	0
sequin :: sequined	2
refrigerator :: refridgerator	1
bin :: container	2
cut :: clip	0
cyclone :: tornado	0
cabin :: hut	0
fade :: melt	0
highlight :: highlighting	2
replacement :: replacing	0
pigment :: paint	0
drainage :: drain	0
grilling :: bbq	2
eyeshadow :: makeup	1
rabbit :: cony	2
nightclub :: club	2
wireless :: radio	0
spell :: charm	0
hall :: hallway	2
tarpaulin :: tarp	2
suit :: clothing	1
gemstone :: gem	2
cosmetic :: maquillage	2
infant :: baby	2
aquascaping :: aquarium	0
intimate :: private	0
unisex :: woman	1
hoody :: sweatshirt	1
overall :: coverall	1
recipe :: cookbook	0
sewing :: stitching	2
drink :: beverage	2
vinyl :: viynl	1
spatula :: turner	2
pool :: pond	0
backup :: backing	0
pant :: clothing	1
trainer :: coach	2
exterior :: outside	2
garbage :: refuse	2
huge :: enormous	0
swallow :: drink	0
shampoo :: shampooing	2
personal :: individual	2
silencer :: muffler	0
money :: cash	2
psychedelic :: trippy	0
running :: track	1
freshener :: airfreshener	0
sulfate :: sulphate	1
system :: arrangement	0
bomb :: body	0
exfoliating :: exfoliator	0
zel :: zelda	0
slyther :: slytherin	0
stencil :: pattern	0
dimmer :: rheostat	0
fake :: false	0
cooling :: chilling	2
stationary :: stationery	1
matt :: mat	0
bangle :: bracelet	0
cheese :: rush	0
paddle :: racquet	2
toilet :: potty	2
chevy :: chevrolet	2
cream :: crem	1
gap :: break	0
soundproof :: soundproofing	2
washing :: wash	2
energy :: vigor	0
prime :: flower	0
cargo :: freight	0
dinner :: banquet	0
design :: designed	2
goddess :: mother	0
clavicle :: collarbone	0
bearing :: baring	1
immune :: immunity	0
dress :: clothing	1
muscle :: muscular	0
bounce :: bouncing	2
michael :: mike	0
igniter :: ignitor	2
razor :: shaver	1
vegan :: vegetarian	1
vegetable :: veg	1
boot :: botte	1
super :: awesome	2
crown :: peak	0
comb :: combing	0
decoration :: decorar	1
decor :: decorativa	0
knit :: knitting	0
sleepwear :: pyjama	2
xl :: xxxl	0
camo :: camouflage	2
ribbon :: decoration	1
hunting :: hunt	2
resistance :: resistor	0
6 :: 6th	0
cooker :: stove	0
block :: stuff	0
bat :: batman	0
album :: lp	0
puzzle :: board	0
couch :: davenport	0
four :: iv	0
outdoor :: oudoor	1
halloween :: samhain	0
bandage :: bandaid	0
bootie :: booty	2
fruit :: fruta	1
cube :: dice	0
pineapple :: grenade	0
secret :: confidential	2
sleepwear :: clothe	0
spf :: sunscreen	0
mold :: molde	0
accessory :: accesory	1
candle :: candel	1
pulley :: pully	1
massager :: massger	1
bluetooth :: bluetoot	1
sack :: sac	1
anchor :: ancor	1
keyboard :: keybord	1
iphone :: iphon	1
fryer :: frier	1
acrylic :: acrilic	1
bikini :: swimwear	1
philip :: phillip	1
chicken :: poultry	1
woman :: womam	1
wheel :: wheele	1
puzzle :: puzzl	1
onesie :: onesy	1
bracelet :: bracelt	1
woman :: female	1
bluetooth :: blootooth	1
puppy :: dog	1
mould :: molde	1
boy :: son	1
gummy :: gummi	1
man :: male	1
adjustable :: ajustable	1
safety :: safty	1
vacuum :: vacume	1
pant :: pantalone	1
air :: aire	1
girl :: children	1
cigarette :: cigaret	1
crv :: honda	1
sweater :: clothing	1
professional :: profesional	1
connector :: conector	1
pillow :: pillo	1
vitamin :: vitamina	1
mask :: masque	1
underwear :: undy	1
soy :: soya	1
lady :: female	1
burger :: hamburger	1
trimmer :: trimer	1
support :: suport	1
jurassic :: jurrasic	1
cigarette :: cig	1
knife :: knive	1
bubble :: buble	1
pjs :: pijama	1
sneaker :: shoe	1
lash :: eyelash	1
stereo :: sterio	1
present :: gift	1
shirt :: clothing	1
towel :: towl	1
drill :: dril	1
visor :: viser	1
dog :: pet	1
natural :: naturel	1
cap :: hat	1
rechargeable :: rechargable	1
carhartt :: carhart	1
vitamin :: vitamine	1
coffee :: cofee	1
scooter :: scoter	1
carabiner :: karabiner	1
silicon :: silicium	1
outfit :: kit	2
cuticle :: cuticula	0
derby :: darby	1
temp :: temporary	2
daypack :: rucksack	2
rucksack :: haversack	0
idler :: loafer	0
unbreakable :: nonbreakable	1
sta :: station	0
concept :: conception	0
hardback :: hardcover	2
joker :: jester	2
fascinating :: absorbing	0
mama :: momma	2
biker :: bicyclist	0
serial :: sequential	0
naughty :: dirty	0
bus :: omnibus	0
pup :: puppy	2
rosette :: rosetta	0
sam :: sammy	0
trooper :: tanker	0
craft :: craftsmanship	0
homeland :: motherland	2
hebrew :: jew	0
sarcasm :: satire	0
cartoon :: caricature	0
wristlet :: wristband	0
naturally :: essentially	0
sprocket :: widget	0
belle :: beauty	2
emotional :: sentimental	0
guacamole :: guac	2
daddy :: da	1
fisherman :: fisher	2
doc :: doctor	0
usage :: use	0
sin :: sine	0
franklin :: benjamin	0
bp :: bps	0
persian :: iranian	2
rosette :: roset	0
furry :: hairy	0
pancake :: hotcake	2
headpiece :: headgear	0
nappy :: napkin	0
cuddle :: snuggle	2
carb :: carby	0
maximum :: maximal	0
washcloth :: washrag	2
headdress :: headgear	0
max :: maxi	0
nyc :: ny	0
guest :: houseguest	2
ethnic :: exotic	0
adaptive :: adaptable	0
composite :: compound	0
spacecraft :: spaceship	2
gadget :: widget	0
instant :: instantaneous	2
fleece :: flay	0
cyclist :: bicyclist	2
grandad :: grandfather	2
headgear :: headdress	0
chunky :: chubby	0
ripped :: jacked	0
clasp :: clench	0
russia :: rus	0
boxed :: packaged	2
bone :: debone	0
toggle :: woggle	0
laughing :: laughter	0
even :: evening	0
headpiece :: headstall	0
crib :: cribbage	0
scratch :: scrape	0
technique :: technic	0
ammunition :: ammo	2
invisible :: inconspicuous	0
stimulate :: stir	0
exotic :: ethnic	0
submersible :: submergeable	2
weatherproof :: weathertight	2
board :: gameboard	0
mapping :: map	0
plant :: implant	0
collector :: accumulator	0
connected :: continuous	0
microphone :: mike	1
mini :: minicomputer	0
church :: chapel	2
til :: till	0
rebuild :: reconstruction	0
map :: mapping	0
viper :: adder	0
trail :: track	0
security :: surety	0
fantastic :: fantastical	2
vibrant :: vivacious	0
headwear :: headgear	0
fisher :: fisherman	2
bye :: goodbye	0
flawless :: faultless	2
collector :: collecter	1
uni :: university	0
pentagram :: pentacle	0
litter :: stretcher	0
comfortable :: comforting	0
staff :: stave	1
telescopic :: telehandler	9
sweater :: jumper	0
sung :: song	0
hw :: hwk	0
holder :: haver	0
question :: interrogation	0
comb :: cockscomb	0
quote :: quotation	2
adaptive :: adaptative	1
steak :: beefsteak	2
gig :: gigabyte	0
flora :: microflora	0
trio :: triad	0
feather :: feathering	0
micron :: micrometer	0
receiver :: recipient	0
sunshine :: sunlight	2
crape :: crepe	0
maggie :: magpie	0
apex :: vertex	0
enclosed :: included	0
indicator :: trafficator	0
pudding :: pud	0
puller :: yanker	0
cloak :: clothe	0
transfer :: transpose	0
mainboard :: motherboard	2
momma :: mama	2
professor :: prof	1
peanut :: groundnut	0
story :: history	0
blender :: liquidizer	0
vision :: apparition	0
bass :: basso	1
got :: gotta	0
application :: lotion	0
blender :: liquidiser	0
equipment :: appointment	0
university :: uni	1
general :: generic	0
nearly :: virtually	0
crossing :: crosswalk	0
goalkeeper :: goaltender	2
stability :: stasis	0
basketball :: basket	0
blanket :: sheet	0
lumberjack :: lumberman	2
pixel :: pel	0
trike :: tricycle	2
disposable :: expendable	2
crepe :: crape	1
gourmet :: gourmand	2
marriage :: matrimony	2
hairstyle :: haircut	0
cultured :: cultivated	0
loving :: lovely	0
regal :: royal	2
remote :: removed	0
pillowslip :: pillowcase	2
internal :: interior	0
magnetic :: magnetised	2
flagpole :: flagstaff	2
tombstone :: gravestone	2
relief :: respite	2
loading :: lading	0
vine :: grapevine	0
difference :: dispute	0
compact :: compress	0
pentacle :: pentagram	0
extendable :: extensible	2
available :: usable	0
supervisor :: superintendent	0
playing :: acting	0
knapsack :: backpack	2
snuggle :: cuddle	2
railroad :: railway	2
player :: womanizer	#N/A
edible :: comestible	2
bachelor :: baccalaureate	1
mart :: market	0
filled :: inflated	0
mug :: mush	0
lunch :: luncheon	2
hairdresser :: barber	2
triangle :: trigon	0
rowing :: sculling	2
perfectly :: fully	0
motivation :: motive	0
trumpet :: cornet	0
lonesome :: lonely	2
dash :: smash	0
newspaper :: newsprint	0
nana :: nan	1
capacity :: ability	0
hippo :: hippopotamus	2
astronomical :: astronomic	2
bliss :: happiness	2
reaction :: response	0
end :: ending	0
asymmetrical :: asymmetric	2
cyclist :: cycler	1
demon :: devil	2
raccoon :: coon	2
anyone :: anybody	2
hairstylist :: hairdresser	2
memorabilia :: memento	2
sunlight :: sunshine	2
young :: youthful	2
finish :: polish	0
mayonnaise :: mayo	2
framing :: frame	0
coverall :: overall	0
internal :: inner	0
increase :: increment	0
paper :: newspaper	0
catnip :: catmint	0
badass :: bad	0
goalie :: goalkeeper	2
cubic :: isometric	0
acting :: playing	0
snuggle :: nestle	2
washroom :: restroom	2
stereo :: stereophonic	2
ad :: advertisement	2
lush :: luxurious	0
puffer :: pufferfish	0
till :: til	0
pointy :: pointed	2
among :: amongst	2
timberland :: woodland	0
bar :: barroom	0
grill :: grating	0
canned :: tinned	2
carnelian :: cornelian	0
chip :: microchip	0
biological :: birth	0
hello :: hey	0
bang :: bam	0
teacher :: forefinger	0
pacifier :: comforter	0
beta :: betamax	0
tubular :: cannular	0
portable :: relocatable	0
teen :: teenaged	2
glide :: slide	0
stepmom :: stepmother	2
gran :: granny	2
corded :: wired	0
cradle :: creeper	0
impact :: affect	0
res :: rez	0
hanky :: handkerchief	2
locker :: footlocker	0
traveller :: voyager	2
paw :: pawpaw	0
extender :: lengthener	0
hazardous :: dangerous	2
daytime :: daylight	2
newsboy :: paperboy	0
boxed :: packed	0
groom :: bridegroom	2
av :: avenue	0
submarine :: sub	2
sunblock :: sunscreen	2
multicolored :: multicolor	2
gran :: grandma	2
biner :: carabiner	2
wig :: periwig	0
flowering :: blooming	2
compound :: combine	0
conical :: conic	2
hebrew :: hebraic	1
mike :: microphone	0
rugby :: rugger	0
curvy :: curved	2
political :: politic	2
piano :: pianoforte	2
disco :: discotheque	2
place :: plaza	0
chrysanthemum :: mum	0
helicopter :: chopper	2
creeper :: crawler	0
esp :: esc	0
wilderness :: wildland	0
advanced :: sophisticated	2
dvr :: pvr	0
cello :: violoncello	2
evening :: even	0
daypack :: haversack	0
capture :: catch	0
humpback :: hunchback	2
assembly :: assembler	0
windbreaker :: windcheater	0
seagull :: gull	2
terry :: terrycloth	0
nope :: no	0
keeper :: goaltender	0
ganesha :: ganapati	0
skater :: skateboarder	2
scottish :: scotch	0
veterinarian :: veterinary	2
fishing :: fishery	0
continuous :: constant	0
spaceship :: spacecraft	2
sunset :: sundown	2
moving :: motive	0
handicraft :: handcraft	2
ability :: capability	0
brooch :: breastpin	2
poo :: poop	2
chrome :: chromium	0
gamepad :: joypad	0
astronaut :: cosmonaut	2
achieve :: accomplish	0
grooming :: coaching	0
hypoallergenic :: hypoallergic	1
prop :: property	0
bi :: bisexual	0
gotta :: got	0
pen :: penitentiary	0
grandma :: grandmother	2
incredible :: unbelievable	0
continuous :: connected	0
magnetic :: charismatic	0
sweatshirt :: undershirt	0
instruction :: lesson	0
babe :: baby	2
baggage :: luggage	2
cruise :: ease	0
pizza :: pie	0
peacock :: peafowl	0
production :: product	0
affirmation :: assertion	0
bronco :: broncho	1
birding :: birdwatching	2
fiction :: figment	0
motorcycle :: cycle	0
yeah :: yes	0
devil :: deuce	0
spout :: spurt	0
aesthetic :: aesthetical	2
tester :: teston	0
geometrical :: geometric	2
pawpaw :: papaya	2
hitch :: catch	0
scotch :: scot	0
mythical :: mythic	2
birdwatching :: birding	2
turbo :: turbocharger	0
steamer :: steamboat	0
conventional :: normal	0
homeland :: fatherland	2
buccaneer :: raider	0
rucksack :: backpack	2
granny :: grandmother	2
railway :: railroad	2
cobblestone :: cobble	0
sheep :: sheeple	0
really :: actually	0
icing :: frosting	2
grommet :: grom	0
kit :: outfit	2
steamer :: steamship	0
sliding :: slumping	0
arc :: arrow	0
extendable :: extendible	1
screaming :: shrieking	2
thou :: you	0
respirator :: ventilator	0
hairy :: furry	0
advertisement :: advert	2
beneath :: below	0
middle :: midst	0
geometric :: geometrical	2
catch :: capture	2
chapel :: church	2
greenhouse :: glasshouse	2
pro :: proline	0
plaza :: place	0
cardigan :: cardy	0
saltwater :: seawater	2
hourglass :: sandglass	2
pie :: pizza	0
rolling :: rowling	0
mac :: mackintosh	0
facet :: face	0
benjamin :: franklin	0
pillowcase :: pillowslip	2
ls :: lsc	0
cosmonaut :: astronaut	2
tom :: tomcat	0
cremation :: incineration	2
forward :: fore	0
cucumber :: cuke	2
edible :: eatable	2
platinum :: platina	0
kindergarten :: kindy	0
windscreen :: windshield	0
packed :: boxed	2
gut :: catgut	0
hey :: hello	0
product :: production	0
greek :: grecian	2
car :: motorcar	2
extreme :: excessive	0
present :: current	0
interesting :: absorbing	0
summit :: sum	0
lesson :: instruction	0
current :: present	0
ny :: nyc	0
lotion :: application	0
fairy :: fay	2
header :: heading	0
grandfather :: grandpa	2
timber :: lumber	2
coiled :: looped	0
crawler :: creeper	0
lollipop :: lolly	2
handwriting :: hand	0
undershirt :: sweatshirt	0
alone :: lone	0
quote :: cite	0
nan :: nana	0
timer :: timekeeper	0
aluminium :: alumium	2
postpartum :: postnatal	2
song :: sung	0
clarity :: clearness	0
auxiliary :: accessory	0
someone :: somebody	0
wristband :: wristlet	0
carpet :: carpeting	2
fall :: downfall	0
female :: feminine	2
nut :: nutcase	0
bodybuilder :: builder	0
myrtle :: periwinkle	0
include :: involve	0
gratitude :: gratefulness	2
sunny :: sunlit	2
deg :: de	0
stretcher :: litter	0
porto :: port	0
fully :: amply	0
joyful :: blissful	2
rucksack :: packsack	2
genetic :: genic	0
accounting :: account	0
slippery :: slippy	1
brilliant :: brainy	0
bartender :: barman	2
sub :: submarine	2
sink :: sinkhole	0
procedure :: process	0
mexican :: mexica	2
chest :: breast	0
serve :: service	0
hardcover :: hardback	2
headgear :: headwear	0
luv :: wuv	0
isabella :: isabel	0
bridal :: nuptial	1
stride :: step	0
log :: logarithm	0
footprint :: footstep	0
veterinary :: veterinarian	2
grandmother :: granny	2
magnificent :: brilliant	2
de :: deg	0
comforter :: pacifier	0
dripping :: drip	0
historical :: historic	2
masculine :: male	2
revealed :: uncovered	0
limo :: limousine	2
hive :: beehive	2
newspaper :: paper	1
enterprise :: endeavour	0
fountain :: fount	0
master :: skipper	0
doctor :: doc	1
papaya :: pawpaw	2
expanded :: inflated	0
vision :: envision	0
plateau :: plain	0
char :: sear	0
lash :: eyelash	0
snowmobile :: snowmachine	0
royal :: regal	2
voyager :: traveller	2
inspection :: examination	0
scribble :: scrawl	0
service :: serve	0
angler :: anglerfish	0
iranian :: persian	2
chopper :: helicopter	2
crawfish :: crawdad	2
historic :: historical	0
rude :: crude	0
everyone :: everybody	2
different :: distinct	0
handcraft :: handicraft	2
wonderland :: wonderworld	0
builder :: bodybuilder	0
starter :: appetizer	0
grandfather :: granddad	2
probably :: likely	0
snowthrower :: snowblower	0
stepdad :: stepfather	2
blooming :: blossoming	2
grateful :: thankful	2
veterinarian :: vet	2
ladybird :: ladybug	0
skin :: skinhead	0
reform :: rectify	0
advantage :: vantage	0
lumber :: timber	2
bartender :: barkeeper	2
crew :: crowd	0
slim :: sly	0
curved :: curvy	2
blooming :: flowering	2
copper :: cop	0
grumpy :: grouchy	2
needlework :: needlecraft	2
aisle :: isle	0
rotary :: roundabout	0
thankful :: grateful	2
lace :: shoelace	0
cop :: copper	0
di :: dig	0
staircase :: stairway	2
tab :: tablature	0
controller :: overseer	0
handcrafted :: handmade	2
generic :: general	0
rap :: tap	0
jester :: joker	2
angler :: fisher	2
crawfish :: crayfish	2
masterpiece :: masterwork	2
frosting :: icing	0
sophisticated :: advanced	2
headgear :: headpiece	0
slime :: sludge	0
ver :: version	0
asymmetric :: asymmetrical	2
blooming :: blinking	0
everybody :: everyone	0
creeper :: cradle	0
football :: footy	2
stable :: static	0
san :: bushman	0
newborn :: neonate	1
nightwear :: bedwear	1
jumper :: sweater	0
sleepwear :: bedwear	1
spine :: backbone	0
hairstyle :: hairdo	0
yes :: yeah	0
timber :: timberland	0
bin :: dustbin	0
property :: prop	0
gymnastic :: calisthenic	0
tracker :: stalker	0
hippopotamus :: hippo	2
sausage :: saucisse	2
make :: makeup	0
trash :: rubbish	2
difference :: divergence	0
pawpaw :: paw	0
traffic :: travel	0
freezing :: frosty	0
smash :: crash	0
lone :: alone	0
raider :: buccaneer	0
trinity :: trio	0
without dairy :: no dairy	1
hunse :: tamarind	1
hesaru :: moong	1
long :: podugu	1
sunflower :: suryagandhi	1
اسكتشرز :: سكيتشرز	1
kid :: pillala	1
pea :: pattani	1
saaman :: supply	1
rawa :: rave	1
eleven :: xi	1
x1 9 :: x19	1
saffron :: kesari	1
1984 :: 84	1
five :: 5th	1
without fat :: non fat	1
incorporated :: inc	1
15th :: fifteen	1
decanter :: carafe	1
oorgaai :: pickle	1
non latex :: latex free	1
product :: porutkal	1
flat panel :: flat	1
cleaning :: cleansing	1
peela :: yellow	1
sara :: sarah	1
double :: dual	1
thata :: lobia	1
pashmina :: écharpe	1
perungayam :: asafoetida	1
three :: 3rd	1
porotha :: paratha	1
msg free :: non msg	1
2005 :: 05	1
locomotive :: engine	1
1975 :: 75	1
without msg :: no msg	1
tony :: tonie	1
polarizer :: polarizing	1
seventy four :: 74	1
jaggery :: bellam	1
cycling :: bike	1
no msg :: msg free	1
wheat :: kodhumai	1
cooking :: cookery	1
swimsuit :: swimwear	1
backpack :: rucksack	1
メガネ :: 眼 鏡	1
gun :: pistol	1
big :: bada	1
wheat :: godhumalu	1
recycling :: recycle	1
no fat :: fat less	1
